dataset,n_candidates,n_impressions,pos_ctr_corr
MIND,2,2125,
MIND,3,263,-0.8029550685469657
MIND,4,1465,-0.13753367121832175
MIND,5,879,-0.06767682521924086
MIND,6,536,0.4670993664969139
MIND,7,2111,0.7442282169076682
MIND,8,590,0.4101040455607924
MIND,9,440,-0.07517421626261012
MIND,10,1432,-0.12017278061240777
MIND,11,1404,0.12697624991146608
MIND,12,983,-0.3787001984927829
MIND,13,817,0.28196987866517265
MIND,14,1005,-0.019035393129393143
MIND,15,259,0.27422879573129494
MIND,16,410,0.05444762285786808
MIND,17,1064,0.00911605688194155
MIND,18,284,-0.45509733845328443
MIND,19,552,0.05022521601314787
MIND,20,762,0.26304954584463697
MIND,21,320,0.18657762205430906
MIND,22,803,-0.0021664142158878056
MIND,23,488,-0.04746523256781881
MIND,24,256,0.10059401938951734
MIND,25,449,-0.119583855662739
MIND,26,687,0.08683084162407113
MIND,27,426,0.1937648322672931
MIND,28,583,-0.03547319945867333
MIND,29,318,-0.06039574510881899
MIND,30,316,0.10214051925605536
MIND,31,253,-0.08637883817420372
MIND,32,533,-0.14106361316204027
MIND,33,261,-0.023648208803604787
MIND,34,271,0.1084185460984206
MIND,35,375,-0.3553563632901373
MIND,36,272,0.1685069723368388
MIND,37,341,0.3766642367117692
MIND,38,357,-0.2404027691322432
MIND,39,219,0.11237470113611452
MIND,40,242,0.2252737360717888
MIND,41,290,0.09348527048856052
MIND,42,317,0.16861874013518766
MIND,43,293,0.0780135977632602
MIND,44,292,-0.10783226520406401
MIND,45,164,0.04190098156731689
MIND,46,175,0.15783793159286993
MIND,47,231,0.4160634940708804
MIND,48,261,0.001704365352573017
MIND,49,204,0.0444148353101575
MIND,50,223,-0.19489366371731096
MIND,51,205,0.22143877676560492
MIND,52,137,0.21499891178315203
MIND,53,175,0.00857829395384395
MIND,54,223,0.11726964774796385
MIND,55,195,-0.12013565952120517
MIND,56,171,-0.07537829691591688
MIND,57,171,0.0650398956560036
MIND,58,128,0.04890838843818324
MIND,59,143,0.11544582110308622
MIND,60,171,0.16232472235560375
MIND,61,181,-0.20815436004673135
MIND,62,153,-0.02095524980767404
MIND,63,129,-0.04156436752262562
MIND,64,130,-0.05526175958855151
MIND,65,117,-0.05385574317555721
MIND,66,145,-0.10197863142942144
MIND,67,163,0.02448515065038778
MIND,68,149,-0.1228500607213381
MIND,69,140,-0.008468097984399396
MIND,70,132,-0.11437480451386173
MIND,71,115,0.08306616639776306
MIND,72,142,0.07109033399585049
MIND,73,145,-0.030793455250477463
MIND,74,115,0.19146520070440448
MIND,75,112,0.186316513515787
MIND,76,135,0.013032570881827828
MIND,77,110,0.09297057257506197
MIND,78,114,-0.2027713975443195
MIND,79,122,-0.06335255620074576
MIND,81,103,0.12009928388916943
MIND,82,118,0.1449698997925538
MIND,83,112,0.12753259516549423
EBNERD_DEMO,5,2061,0.49292178644304285
EBNERD_DEMO,6,1751,0.004239483447585298
EBNERD_DEMO,7,1353,0.04993888773434293
EBNERD_DEMO,8,1013,-0.6187136665935551
EBNERD_DEMO,9,960,-0.14344900602137275
EBNERD_DEMO,10,667,-0.49140530939225335
EBNERD_DEMO,11,508,0.49589596342328657
EBNERD_DEMO,12,503,-0.7946382778143386
EBNERD_DEMO,13,449,0.2535420001516966
EBNERD_DEMO,14,389,0.3217866354827624
EBNERD_DEMO,15,352,0.04318745327609932
EBNERD_DEMO,16,308,-0.23759741696355316
EBNERD_DEMO,17,241,0.12419010229956906
EBNERD_DEMO,18,242,0.06278194001186281
EBNERD_DEMO,19,191,-0.003377530401499089
EBNERD_DEMO,20,169,0.37620138951425236
EBNERD_DEMO,21,150,0.06168870908644984
EBNERD_DEMO,22,135,-0.5740312153224194
EBNERD_DEMO,24,100,-0.1567862870257826
